,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2186,2009-540,Wimbledon,Grass,128,G,20090622,127,103819,2,,Roger Federer,R,185,SUI,27.8,104053,6,,Andy Roddick,R,188,USA,26.8,5-7 7-6(6) 7-6(5) 3-6 16-14,5,F,256,50,4,197,127,113,42,37,3,5,27,4,239,169,140,31,38,6,7,2,10620,6,4310
1795,2010-540,Wimbledon,Grass,128,G,20100621,125,104607,12,,Tomas Berdych,R,196,CZE,24.7,104925,3,,Novak Djokovic,R,188,SRB,23,6-3 7-6(9) 6-3,5,SF,138,11,2,102,58,47,28,16,3,4,9,8,88,64,47,10,14,4,7,13,2825,3,6545
1796,2010-540,Wimbledon,Grass,128,G,20100621,126,104745,2,,Rafael Nadal,L,185,ESP,24,104918,4,,Andy Murray,R,190,GBR,23.1,6-4 7-6(6) 6-4,5,SF,142,4,2,97,68,53,17,16,2,3,15,2,92,55,43,21,16,1,4,1,8745,4,5155
1797,2010-540,Wimbledon,Grass,128,G,20100621,127,104745,2,,Rafael Nadal,L,185,ESP,24,104607,12,,Tomas Berdych,R,196,CZE,24.7,6-3 7-5 6-4,5,F,133,5,3,90,62,48,18,15,4,4,13,0,81,48,35,19,16,2,6,1,8745,13,2825
1766,2011-540,Wimbledon,Grass,128,G,20110620,125,104745,1,,Rafael Nadal,L,185,ESP,25,104918,4,,Andy Murray,R,191,GBR,24,5-7 6-2 6-2 6-4,5,SF,179,6,1,103,70,57,19,19,3,4,15,5,113,66,48,23,19,3,8,1,12070,4,6855
1767,2011-540,Wimbledon,Grass,128,G,20110620,126,104925,2,,Novak Djokovic,R,188,SRB,24,104542,12,,Jo-Wilfried Tsonga,R,188,FRA,26.1,7-6(4) 6-2 6-7(9) 6-3,5,SF,187,5,1,120,79,61,28,21,2,5,12,5,133,90,61,20,20,6,12,2,12005,19,1585
1768,2011-540,Wimbledon,Grass,128,G,20110620,127,104925,2,,Novak Djokovic,R,188,SRB,24,104745,1,,Rafael Nadal,L,185,ESP,25,6-4 6-1 1-6 6-3,5,F,148,7,1,95,69,50,14,17,3,6,5,1,82,64,43,8,16,1,6,2,12005,1,12070
1877,2012-540,Wimbledon,Grass,128,G,20120625,125,103819,3,,Roger Federer,R,185,SUI,30.8,104925,1,,Novak Djokovic,R,188,SRB,25,6-3 3-6 6-4 6-3,5,SF,139,12,0,101,65,49,26,19,2,3,9,2,115,73,52,24,18,8,11,3,9435,1,12280
1878,2012-540,Wimbledon,Grass,128,G,20120625,126,104918,4,,Andy Murray,R,191,GBR,25.1,104542,5,,Jo-Wilfried Tsonga,R,188,FRA,27.1,6-3 6-4 3-6 7-5,5,SF,167,9,2,111,67,50,28,20,6,8,11,2,135,85,64,16,20,8,12,4,6980,6,5230
1879,2012-540,Wimbledon,Grass,128,G,20120625,127,103819,3,,Roger Federer,R,185,SUI,30.8,104918,4,,Andy Murray,R,191,GBR,25.1,4-6 7-5 6-3 6-4,5,F,204,12,3,131,90,68,20,21,5,7,16,1,157,88,61,33,20,8,12,3,9435,4,6980
1830,2013-540,Wimbledon,Grass,128,G,20130624,125,104925,1,,Novak Djokovic,R,188,SRB,26,105223,8,,Juan Martin del Potro,R,198,ARG,24.7,7-5 4-6 7-6(2) 6-7(6) 6-3,5,SF,283,22,2,177,123,102,21,28,5,7,4,4,191,114,82,42,27,12,15,1,11830,8,3960
1831,2013-540,Wimbledon,Grass,128,G,20130624,126,104918,2,,Andy Murray,R,191,GBR,26.1,105668,24,,Jerzy Janowicz,R,203,POL,22.6,6-7(2) 6-4 6-4 6-3,5,SF,172,20,1,113,79,60,24,20,6,7,9,11,130,72,54,27,21,8,13,2,8560,22,1549
